year,cost_enfu_fuel_biogas_usd_per_mmbtu,cost_enfu_fuel_electricity_usd_per_mmbtu,cost_enfu_fuel_hydrocarbon_gas_liquids_usd_per_mmbtu,cost_enfu_fuel_hydrogen_usd_per_mmbtu,cost_enfu_fuel_natural_gas_usd_per_mmbtu,cost_enfu_fuel_waste_usd_per_mmbtu
2015,22.0,60.60995530404836,186.70826958249475,120.88288860820231,8.251805479179808,9380.0
2016,22.0,60.60995530404836,186.70826958249475,120.88288860820231,8.251805479179808,9380.0
2017,22.0,60.60995530404836,186.70826958249475,120.88288860820231,8.251805479179808,9380.0
2018,22.0,60.60995530404836,186.70826958249475,120.88288860820231,8.251805479179808,9380.0
2019,22.0,60.60995530404836,186.70826958249475,120.88288860820231,8.251805479179808,9380.0
2020,22.0,60.60995530404836,186.70826958249475,120.88288860820231,8.251805479179808,9380.0
2021,21.98428571428571,60.523369653614004,186.7882874123158,120.36481908559573,8.263593772721492,9369.279999999999
2022,21.95287959183673,60.35044574031796,186.9483916586692,119.3331206362906,8.287204040643552,9347.86450285714
2023,21.90583770699708,60.09180097285945,187.18875387651605,117.79883765668116,8.322720629389167,9315.814681704487
2024,21.8432495992628,59.74841925301454,187.50964888316147,115.77942901113803,8.370279032985675,9273.228100302409
2025,21.765237993551146,59.32164482977871,187.91145527362536,113.29844124661363,8.430066740364145,9220.238225443536
2026,21.67195840215021,58.81317358838061,188.39465615861465,110.385052757415,8.50232445528155,9157.01373475478
2027,21.56359861013946,58.2250418524968,188.95984012709047,107.07350117469254,8.587347699834364,9083.757624876742
2028,21.443800840083128,57.62985253578238,189.5687107230555,103.74232558259098,8.671312877343857,9009.0689510722
2029,21.312755390504837,57.027940742630875,190.221669615546,100.39951731381858,8.75417208928292,8932.9923688187
2030,21.170670354568138,56.4196427080428,190.919149070803,97.05286673669129,8.835877695449561,8855.57310162227
2031,21.017771068674037,55.80529548744412,191.66161242830057,93.70993466020526,8.916382358896989,8776.856896274516
2032,20.85429951591768,55.18523664869474,192.44955461272798,90.37802587228684,8.995639090976075,8696.889977886238
2033,20.680513686618365,54.55980396667619,193.28350268271643,87.06416492363633,9.073601296431201,8615.7190047593
2034,20.496686898292868,53.929335120839035,194.1640164171599,83.77507424874338,9.150222818489953,8533.391023158265
2035,20.303107077586766,53.294167396082486,195.09168894004185,80.51715469462557,9.225457983886423,8449.95342204294
2036,20.100076006810898,52.65463738732949,196.06714738474201,77.29646850684055,9.299261647757517,8365.45388782251
2037,19.889025208739387,52.00698534746533,197.08669655114264,74.16596153231352,9.370865962445249,8281.799348944283
2038,19.670245931443255,51.35169733208727,198.1509647125188,71.12515710948865,9.440210370567344,8198.98135545484
2039,19.444038103231655,50.689260436503346,199.2606101149089,68.17346308944488,9.507235864198373,8116.991541900293
2040,19.21070964599288,50.02016219874151,200.41632165357538,65.3101776396882,9.571885068074923,8035.821626481291
2041,18.970575775417966,49.3448900090585,201.6188195834968,62.53449509000146,9.63410232101741,7955.463410216478
2042,18.723958290337535,48.6639305269335,202.86885626491448,59.845511801131394,9.69383375540772,7875.908776114314
2043,18.471184853417977,47.977769106503736,204.16721694500995,57.24223203778218,9.751027374564625,7797.149688353172
2044,18.212588265470124,47.28688923137008,205.514720576847,54.72357382811976,9.805633127862187,7719.178191469639
2045,17.94850573562081,46.59177195966894,206.91222067676952,52.28837479276843,9.857602983439854,7641.986409554943
2046,17.679278149586498,45.892895380273906,208.36060622150688,49.935397927093845,9.906890998357053,7565.566545459394
2047,17.414088977342697,45.204501949569796,209.8191304650574,47.68830502037463,9.956425453348837,7489.9108800048
2048,17.152877642682554,44.52643442032625,211.28786437831278,45.54233129445777,10.00620758061558,7415.011771204751
2049,16.895584478042316,43.85853790402135,212.76687942896095,43.492926386207166,10.056238618518655,7340.861653492703
2050,16.642150710871682,43.20065983546103,214.25624758496366,41.53574469882785,10.106519811611248,7267.453036957776
2051,16.392518450208605,42.55264993792912,215.7560413180584,39.66663618738059,10.157052410669303,7194.778506588198
2052,16.146630673455476,41.91436018886018,217.2663336072848,37.88163755894846,10.207837672722649,7122.830721522317
2053,15.904431213353645,41.28564478602727,218.78719794253576,36.17696386879578,10.25887686108626,7051.602414307094
2054,15.665864745153339,40.666360114236866,220.31870832813348,34.54900049469997,10.31017124539169,6981.086390164022
2055,15.430876773976038,40.05636471252331,221.86093928643038,32.994295472438466,10.361722101618648,6911.275526262382
2056,15.1994136223664,39.45551924183546,223.4139658614354,31.509552176178737,10.41353071212674,6842.162770999758
2057,14.971422418030903,38.863686453207926,224.9778636224654,30.09162232825069,10.465598365687374,6773.74114328976
2058,14.74685108176044,38.28073115640981,226.55270866782266,28.73749932347941,10.51792635751581,6706.003731856863
2059,14.525648315534031,37.70652018906365,228.1385776284974,27.444311853922837,10.570515989303388,6638.943694538294
2060,14.30776359080102,37.1409223862277,229.73554767189685,26.209317820496306,10.623368569249903,6572.554257592911
2061,14.093147136939004,36.583808550434284,231.3436965056001,25.029898518573972,10.67648541209615,6506.828715016982
2062,13.88174992988492,36.03505142217777,232.9631023811393,23.903553085238144,10.729867839156631,6441.760427866811
2063,13.673523680936645,35.4945256508451,234.59384409780725,22.827893196402428,10.783517178352414,6377.342823588144
2064,13.468420825722596,34.962107766082426,236.23600100649188,21.800638002564316,10.837434764244174,6313.569395352262
2065,13.266394513336756,34.437676149591184,237.8896530135373,20.819609292448924,10.891621938065395,6250.43370139874
2066,13.067398595636707,33.921111007347314,239.55488058463203,19.88272687428872,10.94608004775572,6187.929364384753
2067,12.871387616702155,33.412294342237104,241.2317647487244,18.98800416494573,11.000810447994498,6126.0500707409055
2068,12.678316802451622,32.911109927103546,242.92038710196545,18.133543977523168,11.055814500234469,6064.789570033496
2069,12.488142050414849,32.417443278197,244.62082981167916,17.317534498534624,11.111093572735639,6004.14167433316
2070,12.300819919658625,31.93118162902404,246.3331756203609,16.538245446100564,11.166649040599316,5944.100257589828
2071,12.116307620863745,31.452213904588678,248.0575078497034,15.794024401026038,11.222482285802313,5884.65925501393
2072,11.934563006550789,30.980430696019848,249.79391040465129,15.083293302979865,11.278594697231323,5825.812662463791
2073,11.755544561452528,30.51572423557955,251.5424677774838,14.40454510434577,11.334987670717478,5767.554535839153
2074,11.579211393030741,30.057988372045855,253.3032650519262,13.75634057465021,11.391662609071064,5709.878990480762
2075,11.40552322213528,29.60711854646517,255.07638790728964,13.13730524879095,11.448620922116419,5652.780200575954
2076,11.23444037380325,29.16301176826819,256.86192262264063,12.546126512595357,11.505864026726998,5596.252398570195
2077,11.0659237681962,28.72556659174417,258.6599560809991,11.981550819528564,11.563393346860632,5540.289874584492
2078,10.899934911673258,28.29468309286801,260.4705757735661,11.442381032649779,11.621210313594935,5484.886975838648
2079,10.736435887998159,27.870262846474986,262.293869803981,10.92747388618054,11.679316365162908,5430.038106080261
2080,10.575389349678185,27.452208903777862,264.12992689260886,10.435737561302414,11.73771294698872,5375.7377250194595
2081,10.416758509433013,27.04042577022119,265.9788363808571,9.966129371043806,11.796401511723662,5321.980347769264
2082,10.260507131791517,26.63481938366787,267.84068823552303,9.517653549346834,11.85538351928228,5268.760544291571
2083,10.106599524814644,26.235297092912855,269.7155730531717,9.089359139626225,11.914660436878691,5216.072938848656
2084,9.955000531942424,25.841767636519165,271.60358206454384,8.680337978343045,11.974233739063083,5163.91220946017
2085,9.805675523963288,25.45414112197138,273.5048071389956,8.289722769317608,12.034104907758397,5112.273087365568
2086,9.658590391103838,25.072329005141807,275.41934078896855,7.916685244698315,12.094275432297188,5061.150356491912
2087,9.51371153523728,24.69624407006468,277.34727617449136,7.56043440868689,12.154746809458674,5010.538852926993
2088,9.37100586220872,24.32580040901371,279.28870710771275,7.22021486029598,12.215520543505967,4960.433464397724
2089,9.23044077427559,23.960913402878504,281.2437280574667,6.89530519158266,12.276598146223494,4910.829129753747
2090,9.091984162661456,23.601499701835323,283.21243415386897,6.585016457961441,12.33798113695461,4861.720838456209
2091,8.955604400221533,23.247477206307796,285.194921192946,6.288690717353175,12.399671042639381,4813.103630071647
2092,8.82127033421821,22.898765048213175,287.1912856412966,6.005699635072282,12.461669397852578,4764.97259377093
2093,8.688951279204938,22.55528357248998,289.2016246407856,5.735443151494029,12.52397774484184,4717.322867833221
2094,8.558617010016864,22.21695431890263,291.22603601327114,5.477348209676798,12.586597633566049,4670.149639154888
2095,8.430237754866612,21.88370000411909,293.26461826536394,5.230867540241341,12.649530621733877,4623.448142763339
2096,8.303784188543611,21.555444504057302,295.3174705932215,4.9954785009304805,12.712778274842547,4577.213661335706
2097,8.179227425715458,21.23211283649644,297.384692887374,4.770681968388609,12.776342166216757,4531.441524722349
2098,8.056539014329726,20.913631143948997,299.4663857375856,4.556001279811122,12.84022387704784,4486.1271094751255
2099,7.93569092911478,20.59992667678976,301.56265043774863,4.350981222219621,12.904424996433079,4441.265838380374
2100,7.816655565178058,20.29092777663791,303.67358899081285,4.155187067219738,12.968947121415244,4396.85317999657
