year,cost_enfu_fuel_biofuels_usd_per_m3,cost_enfu_fuel_crude_usd_per_m3,cost_enfu_fuel_diesel_usd_per_m3,cost_enfu_fuel_furnace_gas_usd_per_m3,cost_enfu_fuel_gasoline_usd_per_m3,cost_enfu_fuel_kerosene_usd_per_m3,cost_enfu_fuel_oil_usd_per_m3
2015,521.0903169940931,381.06240654390626,1573.9814814814815,13725.646259953488,1610.5864197530864,1120.1234567901236,541.9362448633508
2016,521.0903169940931,381.06240654390626,1508.7869822485206,13725.646259953488,1543.8757396449705,1073.7278106508875,541.9362448633508
2017,521.0903169940931,381.06240654390626,1416.5833333333333,13725.646259953488,1449.527777777778,1008.1111111111111,541.9362448633508
2018,521.0903169940931,381.06240654390626,1397.1780821917807,13725.646259953488,1429.6712328767126,994.3013698630139,541.9362448633508
2019,521.0903169940931,381.06240654390626,1380.1623815967523,13725.646259953488,1412.259810554804,982.192151556157,541.9362448633508
2020,521.0903169940931,381.06240654390626,1381.6580872392306,13725.646259953488,1413.790300731509,983.2565700352209,541.9362448633508
2021,521.0630823085359,381.04249039025416,1439.7797854319595,13724.92889168206,1473.2636928289103,1024.6188594014682,541.9079206693684
2022,521.0086157842528,381.0026601647778,1350.9139072847681,13723.49423012544,1382.3311258278145,961.3774834437087,541.8512752421207
2023,520.9269245378754,380.94292107172055,1390.3217011995641,13721.342462737439,1422.6553980370777,989.4220283533261,541.7663159829364
2024,520.8180199543483,380.8632814366533,1386.164718673553,13718.473889400282,1418.4017396031531,986.4637129654798,541.6530547322081
2025,520.6819176843253,380.7637527045705,1395.2667578659373,13714.88892235601,1427.7154582763342,992.9411764705884,541.5115077666858
2026,520.5186376404522,380.6443494371718,1399.5924293141375,13710.58808610858,1432.141728707564,996.0195392801279,541.3416957956091
2027,520.3282039925349,380.5050893093289,1399.0803833034129,13705.57201729659,1431.6177744165734,995.6551418877084,541.1436439556838
2028,520.144355050779,380.37064443883094,1398.5860425278638,13700.729391253635,1431.111937118488,995.3033444206765,540.9524402394221
2029,519.9670838021965,380.24100969722684,1398.1093881306726,13696.060023255894,1430.62419751795,994.9641334595834,540.7680773532851
2030,519.7963834834428,380.116180138625,1397.6504019262745,13691.563735155225,1430.1545370064669,994.6374960626774,540.5905482633647
2031,519.6322475803875,379.9961509993784,1397.2090663992005,13687.240355367838,1429.702937661225,994.3234197650801,540.4198461949359
2032,519.4746698276994,379.8809176977821,1396.785364702965,13683.08971886338,1429.2693822439521,994.0218925779949,540.2559646320268
2033,519.3236442084483,379.77047583378123,1396.3792806589918,13679.111667154439,1428.8538541998191,993.7329029879431,540.0988973170031
2034,519.1791649537217,379.66482118869146,1395.990798755587,13675.306048286453,1428.4563376563879,993.4564399560322,539.9486382501703
2035,519.0412265422584,379.56394972493007,1395.6199041469506,13671.672716828045,1428.0768174225998,993.1924929172526,539.805181689392
2036,518.9098237000959,379.46785758575925,1395.2665826522298,13668.21153386176,1427.7152789878094,992.9410517798052,539.6685221497238
2037,518.7781129047986,379.3715402469276,1394.9124331201542,13664.742239334671,1427.3528932586037,992.6890213698186,539.5315423374274
2038,518.6460944075478,379.27499789211885,1394.5574562261104,13661.26483986295,1426.9896609260763,992.4364021679314,539.3942425137321
2039,518.5137684600679,379.17823070541345,1394.201652646945,13657.779342077076,1426.6255826828153,992.1831946558215,539.2566229404325
2040,518.3811353146259,379.08123887128926,1393.8450230609646,13654.285752621829,1426.2606592229017,991.9293993162055,539.1186838798876
2041,518.2481952240307,378.98402257462004,1393.4875681479323,13650.784078156255,1425.8948912419075,991.6750166328364,538.9804255950195
2042,518.1149484416321,378.88658200067516,1393.1292885890664,13647.274325353654,1425.5282794368934,991.4200470905033,538.8418483493134
2043,517.9813952213204,378.7889173351192,1392.7701850670364,13643.756500901549,1425.1608245064058,991.1644911750278,538.7029524068159
2044,517.847535817525,378.6910287640111,1392.4102582659636,13640.230611501678,1424.7925271504753,990.9083493732643,538.5637380321351
2045,517.7133704852139,378.5929164738036,1392.0495088714172,13636.696663869963,1424.4233880706154,990.651622173098,538.4242054904389
2046,517.578899479893,378.49458065134286,1391.6879375704116,13633.15466473649,1424.0534079698177,990.3943100634426,538.2843550474544
2047,517.4444634021061,378.3962703706542,1391.3264601840297,13629.61358560279,1423.6835239677475,990.1370647881014,538.1445409292602
2048,517.3100622427808,378.29798562510337,1390.9650766878779,13626.073426229907,1423.3137360394442,989.8798863297149,538.0047631264214
2049,517.1756959928475,378.19972640805787,1390.6037870575692,13622.534186378936,1422.9440441599534,989.6227746709278,537.8650216295053
2050,517.041364643239,378.1014927128869,1390.2425912687231,13618.995865811046,1422.5744483043272,989.3657297943898,537.7253164290821
2051,516.9070681848901,378.0032845329615,1389.881489296965,13615.458464287458,1422.2049484476247,989.1087516827549,537.585647515724
2052,516.7728066087382,377.90510186165426,1389.5204811179267,13611.921981569461,1421.835544564911,988.8518403186814,537.4460148800056
2053,516.638579905723,377.8069446923395,1389.1595667072468,13608.386417418405,1421.466236631258,988.5949956848325,537.3064185125043
2054,516.5043880667864,377.70881301839347,1388.7987460405693,13604.851771595699,1421.0970246217432,988.3382177638753,537.1668584037997
2055,516.3702310828729,377.6107068331939,1388.4380190935458,13601.318043862817,1420.7279085114517,988.081506538482,537.027334544474
2056,516.2361089449292,377.5126261301203,1388.0773858418331,13597.785233981293,1420.3588882754748,987.8248619913292,536.8878469251118
2057,516.1020216439047,377.41457090255403,1387.716846261095,13594.253341712725,1419.9899638889099,987.5682841050976,536.7483955363001
2058,515.9679691707503,377.316541143878,1387.3564003270012,13590.722366818773,1419.6211353268607,987.3117728624729,536.6089803686283
2059,515.8339515164203,377.21853684747697,1386.9960480152279,13587.192309061156,1419.252402564438,987.055328246145,536.4696014126883
2060,515.6999686718705,377.1205580067373,1386.6357893014576,13583.663168201661,1418.8837655767588,986.7989502388083,536.3302586590746
2061,515.5660206280596,377.02260461504727,1386.2756241613793,13580.134944002128,1418.5152243389466,986.5426388231617,536.190952098384
2062,515.4321073759484,376.9246766657966,1385.915552570688,13576.607636224464,1418.1467788261314,986.286393981909,536.0516817212156
2063,515.2982289065001,376.8267741523769,1385.5555745050851,13573.081244630639,1417.778429013449,986.0302156977577,535.912447518171
2064,515.1643852106802,376.7288970681815,1385.1956899402787,13569.555768982682,1417.4101748760431,985.7741039534208,535.7732494798546
2065,515.0305762794567,376.6310454066053,1384.8358988519824,13566.031209042687,1417.0420163890622,985.5180587316146,535.6340875968729
2066,514.8968021037996,376.53321916104517,1384.476201215917,13562.507564572805,1416.6739535276624,985.2620800150609,535.4949618598347
2067,514.7630626746817,376.4354183248994,1384.1165970078089,13558.984835335254,1416.305986267006,985.0061677864855,535.3558722593516
2068,514.629357983078,376.33764289156824,1383.7570862033913,13555.46302109231,1415.938114582261,984.7503220286188,535.2168187860375
2069,514.4956880199654,376.23989285445356,1383.3976687784032,13551.94212160631,1415.5703384486033,984.4945427241959,535.0778014305085
2070,514.3620527763238,376.14216820695884,1383.0383447085906,13548.422136639658,1415.202657841214,984.2388298559557,534.9388201833838
2071,514.2284522431352,376.0444689424895,1382.6791139697052,13544.903065954817,1414.835072735281,983.9831834066424,534.7998750352841
2072,514.0948864113836,375.9467950544525,1382.3199765375052,13541.384909314307,1414.467583105999,983.7276033590042,534.6609659768334
2073,513.961355272056,375.8491465362565,1381.960932387755,13537.867666480719,1414.1001889285687,983.472089695794,534.5220929986576
2074,513.8278588161412,375.751523381312,1381.6019814962256,13534.351337216698,1413.7328901781977,983.2166423997691,534.3832560913852
2075,513.6943970346305,375.65392558303114,1381.243123838694,13530.835921284954,1413.3656868300993,982.9612614536911,534.2444552456471
2076,513.5609699185176,375.55635313482776,1380.8843593909437,13527.321418448255,1412.998578859494,982.7059468403264,534.1056904520768
2077,513.4275774587984,375.4588060301174,1380.5256881287642,13523.807828469437,1412.6315662416084,982.4506985424458,533.96696170131
2078,513.2942196464714,375.3612842623173,1380.1671100279514,13520.295151111393,1412.2646489516753,982.1955165428243,533.828268983985
2079,513.1608964725373,375.2637878248466,1379.8086250643078,13516.783386137078,1411.8978269649347,981.9404008242418,533.6896122907424
2080,513.0276079279989,375.16631671112583,1379.4502332136417,13513.27253330951,1411.531100256632,981.6853513694822,533.5509916122253
2081,512.8943540038618,375.06887091457753,1379.0919344517679,13509.762592391766,1411.1644688020199,981.4303681613343,533.4124069390792
2082,512.7611346911335,374.97145042862564,1378.7337287545076,13506.25356314699,1410.797932576357,981.175451182591,533.2738582619522
2083,512.6279499808242,374.8740552466961,1378.3756160976882,13502.745445338378,1410.4314915549085,980.9206004160501,533.1353455714946
2084,512.494799863946,374.7766853622165,1378.0175964571433,13499.2382387292,1410.0651457129463,980.6658158445134,532.9968688583591
2085,512.3616843315137,374.6793407686159,1377.6596698087128,13495.731943082776,1409.698895025748,980.4110974507875,532.8584281132011
2086,512.2286033745446,374.58202145932535,1377.301836128243,13492.226558162494,1409.3327394685982,980.1564452176833,532.7200233266782
2087,512.0955569840577,374.48472742777744,1376.9440953915862,13488.722083731802,1408.9666790167882,979.9018591280164,532.5816544894504
2088,511.9625451510747,374.3874586674066,1376.5864475746014,13485.21851955421,1408.600713645615,979.6473391646066,532.4433215921804
2089,511.8295678666199,374.2902151716488,1376.2288926531535,13481.715865393286,1408.2348433303823,979.392885310278,532.3050246255331
2090,511.6966251217194,374.19299693394186,1375.8714306031136,13478.214121012663,1407.8690680464003,979.1384975478596,532.1667635801757
2091,511.56371690740207,374.0958039477252,1375.5140614003594,13474.713286176036,1407.5033877689855,978.8841758601848,532.0285384467783
2092,511.4308432146988,373.99863620644004,1375.1567850207748,13471.213360647158,1407.137802473461,978.6299202300912,531.8903492160129
2093,511.29800403464304,373.9014937035293,1374.7996014402497,13467.714344189846,1406.7723121351562,978.3757306404209,531.7521958785541
2094,511.16519935827034,373.80437643243744,1374.4425106346807,13464.216236567978,1406.4069167294067,978.1216070740207,531.6140784250791
2095,511.03242917661885,373.7072843866108,1374.0855125799703,13460.719037545494,1406.0416162315546,977.8675495137417,531.4759968462674
2096,510.8996934807288,373.61021755949736,1373.7286072520274,13457.22274688639,1405.6764106169492,977.6135579424395,531.3379511328008
2097,510.7669922616429,373.51317594454684,1373.3717946267673,13453.72736435473,1405.3112998609447,977.3596323429739,531.1999412753637
2098,510.6343255104061,373.4161595352106,1373.015074680111,13450.232889714638,1404.946283938903,977.1057726982094,531.0619672646428
2099,510.5016932180657,373.3191683249417,1372.6584473879861,13446.739322730296,1404.5813628261915,976.851978991015,530.9240290913273
2100,510.36909537567135,373.22220230719495,1372.301912726327,13443.24666316595,1404.2165364981845,976.5982512042641,530.7861267461087
