"Subsector","Gas","Edgar_Class","Edgar_Subsector","Edgar_Sector","Vars","ids","BGR"
"lvst","ch4","AG - Livestock:CH4","AG - Livestock","Agriculture","emission_co2e_ch4_lvst_entferm_buffalo:emission_co2e_ch4_lvst_entferm_cattle_dairy:emission_co2e_ch4_lvst_entferm_cattle_nondairy:emission_co2e_ch4_lvst_entferm_chickens:emission_co2e_ch4_lvst_entferm_goats:emission_co2e_ch4_lvst_entferm_horses:emission_co2e_ch4_lvst_entferm_mules:emission_co2e_ch4_lvst_entferm_pigs:emission_co2e_ch4_lvst_entferm_sheep","1:lvst:ch4",1.0685378915
"lsmm","ch4","AG - Livestock:CH4","AG - Livestock","Agriculture","emission_co2e_ch4_lsmm_anaerobic_digester:emission_co2e_ch4_lsmm_anaerobic_lagoon:emission_co2e_ch4_lsmm_composting:emission_co2e_ch4_lsmm_daily_spread:emission_co2e_ch4_lsmm_deep_bedding:emission_co2e_ch4_lsmm_dry_lot:emission_co2e_ch4_lsmm_incineration:emission_co2e_ch4_lsmm_liquid_slurry:emission_co2e_ch4_lsmm_paddock_pasture_range:emission_co2e_ch4_lsmm_poultry_manure:emission_co2e_ch4_lsmm_storage_solid","2:lsmm:ch4",1.0685378915
"lsmm","n2o","AG - Livestock:N2O","AG - Livestock","Agriculture","emission_co2e_n2o_lsmm_anaerobic_digester:emission_co2e_n2o_lsmm_anaerobic_lagoon:emission_co2e_n2o_lsmm_composting:emission_co2e_n2o_lsmm_daily_spread:emission_co2e_n2o_lsmm_deep_bedding:emission_co2e_n2o_lsmm_dry_lot:emission_co2e_n2o_lsmm_incineration:emission_co2e_n2o_lsmm_liquid_slurry:emission_co2e_n2o_lsmm_paddock_pasture_range:emission_co2e_n2o_lsmm_poultry_manure:emission_co2e_n2o_lsmm_storage_solid","3:lsmm:n2o",0.120671763
"agrc","co2","AG - Crops:CO2","AG - Crops","Agriculture","emission_co2e_co2_agrc_biomass_bevs_and_spices:emission_co2e_co2_agrc_biomass_fruits:emission_co2e_co2_agrc_biomass_nuts:emission_co2e_co2_agrc_biomass_other_woody_perennial:emission_co2e_co2_agrc_soil_carbon_organic_soils","4:agrc:co2",1.071093167
"agrc","ch4","AG - Crops:CH4","AG - Crops","Agriculture","emission_co2e_ch4_agrc_anaerobicdom_rice:emission_co2e_ch4_agrc_biomass_burning","5:agrc:ch4",0.101736109
"agrc","n2o","AG - Crops:N2O","AG - Crops","Agriculture","emission_co2e_n2o_agrc_biomass_burning:emission_co2e_n2o_agrc_crop_residues","6:agrc:n2o",3.236068044
"scoe","co2","EN - Building:CO2","EN - Building","Energy","emission_co2e_co2_scoe_commercial_municipal:emission_co2e_co2_scoe_other_se:emission_co2e_co2_scoe_residential","7:scoe:co2",1.695735954
"scoe","ch4","EN - Building:CH4","EN - Building","Energy","emission_co2e_ch4_scoe_commercial_municipal:emission_co2e_ch4_scoe_other_se:emission_co2e_ch4_scoe_residential","8:scoe:ch4",0.415001286
"scoe","n2o","EN - Building:N2O","EN - Building","Energy","emission_co2e_n2o_scoe_commercial_municipal:emission_co2e_n2o_scoe_other_se:emission_co2e_n2o_scoe_residential","9:scoe:n2o",0.087103271
"entc","co2","EN - Electricity/Heat:CO2","EN - Electricity/Heat","Energy","emission_co2e_co2_entc_generation_pp_biogas:emission_co2e_co2_entc_generation_pp_biomass:emission_co2e_co2_entc_generation_pp_coal:emission_co2e_co2_entc_generation_pp_coal_ccs:emission_co2e_co2_entc_generation_pp_gas:emission_co2e_co2_entc_generation_pp_gas_ccs:emission_co2e_co2_entc_generation_pp_geothermal:emission_co2e_co2_entc_generation_pp_hydropower:emission_co2e_co2_entc_generation_pp_nuclear:emission_co2e_co2_entc_generation_pp_ocean:emission_co2e_co2_entc_generation_pp_oil:emission_co2e_co2_entc_generation_pp_solar:emission_co2e_co2_entc_generation_pp_waste_incineration:emission_co2e_co2_entc_generation_pp_wind","10:entc:co2",25.09105165
"entc","ch4","EN - Electricity/Heat:CH4","EN - Electricity/Heat","Energy","emission_co2e_ch4_entc_generation_pp_biogas:emission_co2e_ch4_entc_generation_pp_biomass:emission_co2e_ch4_entc_generation_pp_coal:emission_co2e_ch4_entc_generation_pp_coal_ccs:emission_co2e_ch4_entc_generation_pp_gas:emission_co2e_ch4_entc_generation_pp_gas_ccs:emission_co2e_ch4_entc_generation_pp_geothermal:emission_co2e_ch4_entc_generation_pp_hydropower:emission_co2e_ch4_entc_generation_pp_nuclear:emission_co2e_ch4_entc_generation_pp_ocean:emission_co2e_ch4_entc_generation_pp_oil:emission_co2e_ch4_entc_generation_pp_solar:emission_co2e_ch4_entc_generation_pp_waste_incineration:emission_co2e_ch4_entc_generation_pp_wind","11:entc:ch4",0.023683908
"entc","n2o","EN - Electricity/Heat:N2O","EN - Electricity/Heat","Energy","emission_co2e_n2o_entc_generation_pp_biogas:emission_co2e_n2o_entc_generation_pp_biomass:emission_co2e_n2o_entc_generation_pp_coal:emission_co2e_n2o_entc_generation_pp_coal_ccs:emission_co2e_n2o_entc_generation_pp_gas:emission_co2e_n2o_entc_generation_pp_gas_ccs:emission_co2e_n2o_entc_generation_pp_geothermal:emission_co2e_n2o_entc_generation_pp_hydropower:emission_co2e_n2o_entc_generation_pp_nuclear:emission_co2e_n2o_entc_generation_pp_ocean:emission_co2e_n2o_entc_generation_pp_oil:emission_co2e_n2o_entc_generation_pp_solar:emission_co2e_n2o_entc_generation_pp_waste_incineration:emission_co2e_n2o_entc_generation_pp_wind","12:entc:n2o",0.106404361
"fgtv","co2","EN - Fugitive Emissions:CO2","EN - Fugitive Emissions","Energy","emission_co2e_co2_fgtv_fuel_coal:emission_co2e_co2_fgtv_fuel_natural_gas:emission_co2e_co2_fgtv_fuel_oil:emission_co2e_co2_entc_fuel_mining_and_extraction_me_coal:emission_co2e_co2_entc_fuel_mining_and_extraction_me_crude:emission_co2e_co2_entc_fuel_mining_and_extraction_me_natural_gas:emission_co2e_co2_entc_processing_and_refinement_fp_ammonia_production:emission_co2e_co2_entc_processing_and_refinement_fp_hydrogen_electrolysis:emission_co2e_co2_entc_processing_and_refinement_fp_hydrogen_gasification:emission_co2e_co2_entc_processing_and_refinement_fp_hydrogen_reformation:emission_co2e_co2_entc_processing_and_refinement_fp_hydrogen_reformation_ccs:emission_co2e_co2_entc_processing_and_refinement_fp_natural_gas:emission_co2e_co2_entc_processing_and_refinement_fp_petroleum_refinement","13:fgtv:co2",2.463175335
"fgtv","ch4","EN - Fugitive Emissions:CH4","EN - Fugitive Emissions","Energy","emission_co2e_ch4_fgtv_fuel_coal:emission_co2e_ch4_fgtv_fuel_natural_gas:emission_co2e_ch4_fgtv_fuel_oil:emission_co2e_ch4_entc_fuel_mining_and_extraction_me_coal:emission_co2e_ch4_entc_fuel_mining_and_extraction_me_crude:emission_co2e_ch4_entc_fuel_mining_and_extraction_me_natural_gas:emission_co2e_ch4_entc_processing_and_refinement_fp_ammonia_production:emission_co2e_ch4_entc_processing_and_refinement_fp_hydrogen_electrolysis:emission_co2e_ch4_entc_processing_and_refinement_fp_hydrogen_gasification:emission_co2e_ch4_entc_processing_and_refinement_fp_hydrogen_reformation:emission_co2e_ch4_entc_processing_and_refinement_fp_hydrogen_reformation_ccs:emission_co2e_ch4_entc_processing_and_refinement_fp_natural_gas:emission_co2e_ch4_entc_processing_and_refinement_fp_petroleum_refinement","14:fgtv:ch4",1.125721545
"fgtv","n2o","EN - Fugitive Emissions:N2O","EN - Fugitive Emissions","Energy","emission_co2e_n2o_fgtv_fuel_coal:emission_co2e_n2o_fgtv_fuel_natural_gas:emission_co2e_n2o_fgtv_fuel_oil:emission_co2e_n2o_entc_fuel_mining_and_extraction_me_coal:emission_co2e_n2o_entc_fuel_mining_and_extraction_me_crude:emission_co2e_n2o_entc_fuel_mining_and_extraction_me_natural_gas:emission_co2e_n2o_entc_processing_and_refinement_fp_ammonia_production:emission_co2e_n2o_entc_processing_and_refinement_fp_hydrogen_electrolysis:emission_co2e_n2o_entc_processing_and_refinement_fp_hydrogen_gasification:emission_co2e_n2o_entc_processing_and_refinement_fp_hydrogen_reformation:emission_co2e_n2o_entc_processing_and_refinement_fp_hydrogen_reformation_ccs:emission_co2e_n2o_entc_processing_and_refinement_fp_natural_gas:emission_co2e_n2o_entc_processing_and_refinement_fp_petroleum_refinement","15:fgtv:n2o",0.000855997
"inen","co2","EN - Manufacturing/Construction:CO2","EN - Manufacturing/Construction","Energy","emission_co2e_co2_inen_agriculture_and_livestock:emission_co2e_co2_inen_cement:emission_co2e_co2_inen_chemicals:emission_co2e_co2_inen_electronics:emission_co2e_co2_inen_glass:emission_co2e_co2_inen_lime_and_carbonite:emission_co2e_co2_inen_metals:emission_co2e_co2_inen_mining:emission_co2e_co2_inen_other_product_manufacturing:emission_co2e_co2_inen_paper:emission_co2e_co2_inen_plastic:emission_co2e_co2_inen_recycled_glass:emission_co2e_co2_inen_recycled_metals:emission_co2e_co2_inen_recycled_paper:emission_co2e_co2_inen_recycled_plastic:emission_co2e_co2_inen_recycled_rubber_and_leather:emission_co2e_co2_inen_recycled_textiles:emission_co2e_co2_inen_recycled_wood:emission_co2e_co2_inen_rubber_and_leather:emission_co2e_co2_inen_textiles","16:inen:co2",4.932055857
"inen","ch4","EN - Manufacturing/Construction:CH4","EN - Manufacturing/Construction","Energy","emission_co2e_ch4_inen_agriculture_and_livestock:emission_co2e_ch4_inen_cement:emission_co2e_ch4_inen_chemicals:emission_co2e_ch4_inen_electronics:emission_co2e_ch4_inen_glass:emission_co2e_ch4_inen_lime_and_carbonite:emission_co2e_ch4_inen_metals:emission_co2e_ch4_inen_mining:emission_co2e_ch4_inen_other_product_manufacturing:emission_co2e_ch4_inen_paper:emission_co2e_ch4_inen_plastic:emission_co2e_ch4_inen_recycled_glass:emission_co2e_ch4_inen_recycled_metals:emission_co2e_ch4_inen_recycled_paper:emission_co2e_ch4_inen_recycled_plastic:emission_co2e_ch4_inen_recycled_rubber_and_leather:emission_co2e_ch4_inen_recycled_textiles:emission_co2e_ch4_inen_recycled_wood:emission_co2e_ch4_inen_rubber_and_leather:emission_co2e_ch4_inen_textiles","17:inen:ch4",0.018077663
"inen","n2o","EN - Manufacturing/Construction:N2O","EN - Manufacturing/Construction","Energy","emission_co2e_n2o_inen_agriculture_and_livestock:emission_co2e_n2o_inen_cement:emission_co2e_n2o_inen_chemicals:emission_co2e_n2o_inen_electronics:emission_co2e_n2o_inen_glass:emission_co2e_n2o_inen_lime_and_carbonite:emission_co2e_n2o_inen_metals:emission_co2e_n2o_inen_mining:emission_co2e_n2o_inen_other_product_manufacturing:emission_co2e_n2o_inen_paper:emission_co2e_n2o_inen_plastic:emission_co2e_n2o_inen_recycled_glass:emission_co2e_n2o_inen_recycled_metals:emission_co2e_n2o_inen_recycled_paper:emission_co2e_n2o_inen_recycled_plastic:emission_co2e_n2o_inen_recycled_rubber_and_leather:emission_co2e_n2o_inen_recycled_textiles:emission_co2e_n2o_inen_recycled_wood:emission_co2e_n2o_inen_rubber_and_leather:emission_co2e_n2o_inen_textiles","18:inen:n2o",0.023924889
"trns","co2","EN - Transportation:CO2","EN - Transportation","Energy","emission_co2e_co2_trns_aviation:emission_co2e_co2_trns_human_powered:emission_co2e_co2_trns_powered_bikes:emission_co2e_co2_trns_public:emission_co2e_co2_trns_rail_freight:emission_co2e_co2_trns_rail_passenger:emission_co2e_co2_trns_road_heavy_freight:emission_co2e_co2_trns_road_heavy_regional:emission_co2e_co2_trns_road_light:emission_co2e_co2_trns_water_borne","19:trns:co2",10.31481115
"trns","ch4","EN - Transportation:CH4","EN - Transportation","Energy","emission_co2e_ch4_trns_aviation:emission_co2e_ch4_trns_human_powered:emission_co2e_ch4_trns_powered_bikes:emission_co2e_ch4_trns_public:emission_co2e_ch4_trns_rail_freight:emission_co2e_ch4_trns_rail_passenger:emission_co2e_ch4_trns_road_heavy_freight:emission_co2e_ch4_trns_road_heavy_regional:emission_co2e_ch4_trns_road_light:emission_co2e_ch4_trns_water_borne","20:trns:ch4",0.050659814
"trns","n2o","EN - Transportation:N2O","EN - Transportation","Energy","emission_co2e_n2o_trns_aviation:emission_co2e_n2o_trns_human_powered:emission_co2e_n2o_trns_powered_bikes:emission_co2e_n2o_trns_public:emission_co2e_n2o_trns_rail_freight:emission_co2e_n2o_trns_rail_passenger:emission_co2e_n2o_trns_road_heavy_freight:emission_co2e_n2o_trns_road_heavy_regional:emission_co2e_n2o_trns_road_light:emission_co2e_n2o_trns_water_borne","21:trns:n2o",0.089264459
"ippu","co2","IN - Industrial Processes:CO2","IN - Industrial Processes","Industrial Processes","emission_co2e_co2_ippu_product_use_product_use_lubricants:emission_co2e_co2_ippu_product_use_product_use_other:emission_co2e_co2_ippu_product_use_product_use_paraffin_wax:emission_co2e_co2_ippu_production_cement:emission_co2e_co2_ippu_production_chemicals:emission_co2e_co2_ippu_production_glass:emission_co2e_co2_ippu_production_lime_and_carbonite:emission_co2e_co2_ippu_production_metals:emission_co2e_co2_ippu_production_paper:emission_co2e_co2_ippu_production_plastic:emission_co2e_co2_ippu_production_product_use_lubricants:emission_co2e_co2_ippu_production_product_use_paraffin_wax","22:ippu:co2",4.528596383
"ippu","ch4","IN - Industrial Processes:CH4","IN - Industrial Processes","Industrial Processes","emission_co2e_ch4_ippu_production_chemicals:emission_co2e_ch4_ippu_production_metals:emission_co2e_ch4_ippu_production_paper:emission_co2e_ch4_ippu_production_plastic","23:ippu:ch4",0.008740533
"ippu","n2o","IN - Industrial Processes:N2O","IN - Industrial Processes","Industrial Processes","emission_co2e_n2o_ippu_production_chemicals:emission_co2e_n2o_ippu_production_other_product_manufacturing:emission_co2e_n2o_ippu_production_paper:emission_co2e_n2o_ippu_production_plastic","24:ippu:n2o",0.260753369
"ippu","c2f6","IN - Industrial Processes:HFC","IN - Industrial Processes","Industrial Processes","emission_co2e_c2f6_ippu_product_use_product_use_ods_other:emission_co2e_c2f6_ippu_production_chemicals:emission_co2e_c2f6_ippu_production_electronics:emission_co2e_c2f6_ippu_production_metals","25:ippu:c2f6",0.149256941037037
"ippu","c2h3f3","IN - Industrial Processes:HFC","IN - Industrial Processes","Industrial Processes","emission_co2e_c2h3f3_ippu_product_use_product_use_ods_refrigeration:emission_co2e_c2h3f3_ippu_production_chemicals","26:ippu:c2h3f3",0.149256941037037
"ippu","c2hf5","IN - Industrial Processes:HFC","IN - Industrial Processes","Industrial Processes","emission_co2e_c2hf5_ippu_product_use_product_use_ods_other:emission_co2e_c2hf5_ippu_product_use_product_use_ods_refrigeration:emission_co2e_c2hf5_ippu_production_chemicals","27:ippu:c2hf5",0.149256941037037
"ippu","c3f8","IN - Industrial Processes:HFC","IN - Industrial Processes","Industrial Processes","emission_co2e_c3f8_ippu_production_chemicals:emission_co2e_c3f8_ippu_production_electronics","28:ippu:c3f8",0.149256941037037
"ippu","c3h2f6","IN - Industrial Processes:HFC","IN - Industrial Processes","Industrial Processes","emission_co2e_c3h2f6_ippu_product_use_product_use_ods_other:emission_co2e_c3h2f6_ippu_product_use_product_use_ods_refrigeration","29:ippu:c3h2f6",0.149256941037037
"ippu","c3h3f5","IN - Industrial Processes:HFC","IN - Industrial Processes","Industrial Processes","emission_co2e_c3h3f5_ippu_product_use_product_use_ods_other:emission_co2e_c3h3f5_ippu_product_use_product_use_ods_refrigeration","30:ippu:c3h3f5",0.149256941037037
"ippu","c3hf7","IN - Industrial Processes:HFC","IN - Industrial Processes","Industrial Processes","emission_co2e_c3hf7_ippu_product_use_product_use_ods_other:emission_co2e_c3hf7_ippu_product_use_product_use_ods_refrigeration:emission_co2e_c3hf7_ippu_production_chemicals","31:ippu:c3hf7",0.149256941037037
